127.0.0.1 - - [16/Dec/2022:09:53:42 +0900] "GET / HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:43 +0900] "GET / HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:43 +0900] "GET /copyCatLatte/fonts/index.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:43 +0900] "GET /copyCatLatte/static/css/main.8d6a17ca.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:43 +0900] "GET /copyCatLatte/static/js/main.2576bfff.js HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:43 +0900] "GET /copyCatLatte/manifest.json HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:43 +0900] "GET /copyCatLatte/favicon/favicon-32x32.png HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:43 +0900] "GET /copyCatLatte/favicon/favicon-16x16.png HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:50 +0900] "GET /copyCatLatte/manifest.json HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:50 +0900] "GET /copyCatLatte/static/css/main.8d6a17ca.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:53:50 +0900] "GET /copyCatLatte/fonts/index.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:58:34 +0900] "GET / HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:58:34 +0900] "GET /copyCatLatte/static/css/main.8d6a17ca.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:58:34 +0900] "GET /copyCatLatte/fonts/index.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:58:34 +0900] "GET /copyCatLatte/static/js/main.2576bfff.js HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:58:34 +0900] "GET /copyCatLatte/manifest.json HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:58:34 +0900] "GET /copyCatLatte/favicon/favicon-32x32.png HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:58:34 +0900] "GET /copyCatLatte/favicon/favicon-16x16.png HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:03:55 +0900] "GET / HTTP/1.1" 200 1696
